,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,1.1120281429851757,8.40453241853153,-3.284201937563279,-0.4463857368511312,-6.1957688541973335,-5.989392021123101,-6.068034129984238,-3.043921849306892,2.1630143698524025,-4.360527248943553,12.190853118896484,-0.9287641574354732,-0.5335835288552677,4.093727700850543,-2.6185720247380875,-1.3493786752223969,3.693680184728959,-1.4037961135892307,1.0816535564029919,-1.180476607645259,7.820727530647726,-7.630515147657955,-0.7882718268562766,3.5358887209611782,1.8249904811382294,-0.0873764245715232
2,-3.4070022881031035,-0.037372185205194086,4.997159604592757,0.003120456942865117,-1.5210872856370936,-4.729578485272148,-3.0489287771453912,-1.4500309128695252,1.40651938973672,5.948429896555503,18.02924953807484,-57.110844508084384,-20.66882912895896,15.093702853809704,-27.558172997561368,-7.958731122450395,-51.76601725491611,-20.11221854903481,-0.7205621554558589,-5.135947702147744,-5.37788735519756,-2.717234227332202,-3.1632991536097093,3.330886434425007,-9.84119739965959,-3.296371193907478
3,-2.4011759757995605,-0.8092528581619263,-8.0593900680542,-4.719451904296875,-3.126070499420166,-1.1313765048980713,-1.4130825996398926,0.34548836946487427,-3.06408429145813,-4.518526077270508,-1.7186628580093384,-1.6055614948272705,-4.482415199279785,-2.3190619945526123,0.8100804686546326,-2.377277374267578,-3.369696617126465,-2.8460068702697754,1.8616973161697388,-0.5164035558700562,-2.234708786010742,-2.6983556747436523,-3.6202926635742188,-1.3062478303909302,-2.081418752670288,-1.8856079578399658
4,-2.340242580267099,-3.1449553416325498,2.778765518848713,-3.727034478004162,-2.5657126820180567,-7.332372705753033,-7.545196518531212,14.74083529985868,1.6901732909564788,-2.3784492529355563,-1.626832237495826,9.77769829241129,-4.328298891507663,-21.39284764803373,14.18068185219398,-7.044851050010094,30.14548075749324,-26.384814130342924,-0.3625150053546979,-3.1429467072853674,0.35852495845263965,-4.140040498513442,-3.0416836683566753,0.3733412851507847,-0.33567174976834885,-0.360113253730994
5,-2.838368252266285,-2.5287966450979544,-1.441410549851351,-1.3416597593662352,-0.9055081938588342,-1.147211220375327,-0.9147557713264642,0.21033340657866278,-0.4547642524852309,0.9434286979741828,-1.045836167280064,0.8168657505235006,0.19556547146896983,-1.2424994790276815,-1.6558531217796857,-0.6130314601022143,-0.11278765258206011,0.33502450585365295,0.37749523236307986,-2.371039495911709,-1.5641294357388518,-1.718965727229451,0.5905515419882398,-0.35336228078880977,1.7219606887462526,-1.4933535234872686
6,-1.123836163910657,-1.4885754981030113,-0.3790286325538449,0.45155825421063245,-0.0002673132641609013,-0.18951741695970292,-1.0274781090670202,-0.3214146565746338,-0.26453465051512925,0.2223074256925248,-1.0814144006231774,-0.7228028284178283,-0.046079393153914974,-0.12495140533901514,-1.222984652327118,-0.9459953134041558,-0.6300292006639278,-0.5417846394520957,-0.4568940374759753,-0.2641671419310426,-1.216683343661976,-1.7196296785598677,-0.039984253663444685,-0.3846500185501332,-0.527029805246097,-0.7128134384611067
7,1.1135920908551482,-0.03299204794477082,-3.4125651850064114,-0.25064072712321905,-1.8238948301604532,-0.7576313183735791,1.1527208804516413,-1.5255575160513184,2.752710479199674,0.8906621356645965,-0.9533358748858606,-1.9298017797257985,0.197839333215215,0.285849188131919,0.5282828030224884,-0.4776846412840257,-0.6292803765234785,-1.0283713814549074,-1.6294937252264372,-1.8883929405082813,0.9761941123452632,-3.191052068214853,-0.677076528534861,0.16416792531094468,-0.31197626798203415,0.8580619211378847
8,-1.9798122028460892,-2.9240854087571546,-0.6734459859577092,-1.032528960696012,0.2114763727408796,-0.44158462322513997,-1.0482221513006074,0.10941729344226762,-0.1678722565722339,0.1221173409098739,-1.0170049836974395,-1.0333683913698894,0.9842105284356519,-0.6109920224001815,-1.8863977686805418,-1.3401089442450211,-1.5657615931489983,0.7423469842890297,-0.03463721981334821,0.3280310097723581,-0.5847734371661027,-0.8222875856534032,-0.003306229178998851,-0.4701777314289072,-0.5795542208329348,-0.48300151568956917
9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-4.2643110752713875,-0.6530220363585447,-5.13935078192197,-6.119790607408821,-7.542063800076669,-7.5024479935553865,-7.621029440289728,-13.136988217790972,-7.118711426448693,-0.47450732037087573,-4.704281551646553,-2.428160873322811,-3.0899806089577635,-9.19378899663887,-3.535759710730322,-8.670504829718729,-2.1964553461196057,-9.973631082057342,-6.489155007364102,-4.887820456798275,-8.141903304977273,-4.545692742701439,-3.4132063351566715,-5.3337812787136505,-12.615753272660411,-8.568027069050432
10,-28.106247644987697,-21.84227678531166,-31.060025183756167,-43.20268802057297,-21.910966666124775,-38.26540003485721,-34.7168194237234,-6.9493513924875625,-40.580633724362194,-15.471755221713188,-22.292326470775063,-8.953168575521957,-24.442384785871603,-28.407443721501895,-14.805029537675562,-22.972499224731976,-16.688368998282883,-18.10461858815356,-13.716053159718978,-25.042474689460644,-15.462927287017807,-15.644370231113728,-18.065790812829004,-22.045827329608386,-21.191750004569492,-19.776379340079007
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-13.148304689186933,-20.99826590364483,1.6470848490833865,15.354834373140424,-11.149887929938366,-11.076235557846932,-11.150203626428056,-12.625668256670219,-12.152024657614573,-11.078830671261336,-12.01608481680247,-18.675057799215782,-13.735238772907735,-9.92385759386968,-9.220175289796614,-5.686049403045573,-5.162023847738744,-12.026675837614297,-10.80457904197593,-8.994732930721288,-13.359910641963875,-14.543612583704006,-15.23624975830496,-17.143967053376667,-12.153645056464612,-11.358499516487552
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-0.13773837998277963,-0.3715480355751915,-0.5082836611166833,-0.10436390961209933,-1.686390582767744,-1.6010580412925235,-1.630287552400241,-1.6145659746631744,-1.6635146632435776,-3.50189315137409,-21.34330810440911,9.547593564061183,10.024906704645781,-39.154092974132965,-16.615320533927942,41.543471584953956,40.191456378452365,-13.342694780360612,9.443207576272211,0.6849569288767978,-1.5785064210316964,-1.5736580436664915,0.43688334779035937,-0.0159322604915129,-3.9173074804601216,-1.6785824677300831
47,-1.687740758061409,-3.245142285470447,1.025709721593643,-2.3469694748802006,1.8774651485266831,5.7810768515029745,-0.2995892417581998,-15.214401057306326,-4.7081476747989655,7.822672670039366,-0.1144083731473898,6.424018911595614,-0.3469613991207707,-2.684582016096925,8.38530731426095,2.352256175622625,-7.394534378681543,-6.896121582894955,1.4268864086666584,1.2136729241454236,-1.830028405167022,-0.550933933799278,-2.0775052157213105,0.5505533836082388,-2.3025154611974394,-1.4654959566750616
17,-1.145984367605695,-1.0744517431551512,-1.9625220000572194,-2.553060884414364,-2.9512513758766303,-2.9150630541477702,-3.1391821522866525,-3.9348347956134426,-11.38245593677468,0.779136572465209,2.1385121234362163,6.276869912713354,14.522216710460855,-16.643869253147262,-26.824325230630677,12.505456075186737,-2.3461733295277516,-10.051404062333802,-7.396437658402588,-6.168323653451125,-2.4446103458397217,-4.0895972922101,-2.4895113514287086,-1.338569046294291,-3.482832661605284,-3.980089291632633
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.4977921158277794,7.223445481839387,3.575694753035255,-1.1201803184073904,-1.1855361582144448,-1.1601471945967363,-1.2672909837945,-4.766899694567141,3.6276485149627145,-11.827716578607975,10.697964272291763,-3.7370266893635624,-2.5561142059690924,2.0889993856134623,-1.9604536776633366,-5.015570076846558,1.1664822505868,-8.561802072110384,-8.54843896575596,-1.1142741551055857,-6.276250872404679,1.1238687290283649,2.544796463328859,-1.042410429093339,-2.8965517101890366,-2.3270731139118257
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1.20594473892518,-0.18725676381984757,-0.07038807533193105,-0.5300515257310981,-0.7285966897028149,-1.135569497708335,-1.1776930585768437,-0.3807266035086351,-0.07155183454291929,-0.8905375522134823,-2.3626894767119238,-1.1402106431476775,-0.41540055599945713,-1.1375206356017975,-1.0714682505741697,-1.6669073939289598,-0.7711178572853747,-1.627493752578221,-1.0486724209916127,-1.0710018828155785,-2.5439509786446646,-2.0119662712719304,-0.7804838442982972,-0.24956792646382012,0.19544483030375404,-0.3245826748712744
25,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.08683106821516286,-19.218620471332382,-20.636084183402684,-88.87886246390964,-47.99796610293181,31.086312750111457,29.470670865929645,27.441996035368547,2.3110079454339068,-28.71805937393852,-0.44419298482977826,9.493760606516963,36.32667831752611,39.828091662863024,-12.27142568256544,-46.94965611333432,21.393302668695863,2.262863327951535,6.29640355317489,2.983213398767554,2.371204473402189,1.3966575964637424,0.374610159708106,3.7036887459132983,-2.103289415007052,1.6944981917091038
45,-3.208978334654893,-3.4103400841299565,-2.244261978088323,-2.3833911109893426,-4.2186419906200445,-3.426193711116937,-2.005687706724194,-2.973920395898081,-3.007175879460455,-3.20427163835688,-2.7148536826185357,-3.5930219288921172,-3.078910032890877,-2.7692220114966273,-2.8954967357273866,-3.883169935307327,-2.1455418577821375,-3.3759248162847197,-3.959513513852981,-2.0825675969714004,-3.370157933778057,-1.7942208141370255,-3.6661066823451285,-1.2516241405048238,-1.0661282001578023,-2.6943309870818983
46,-3.226063474051414,1.1712361613347355,-4.988887227435787,-4.772375510735137,-2.1402982056717432,-0.5842604910419787,-0.4180378588313486,-2.6182020011196303,-5.2146185725325065,-2.9520813638513217,0.7370079078511463,-1.816026583271292,-0.328574456937559,-1.5771269791955542,-1.1177711501717924,-1.7491119521132177,-3.7656717333733782,-1.9808089325219513,-4.1292523819117735,-2.4757552241104315,-2.2685029617011456,-2.121588894751169,-2.50871125827851,-0.9866961399082541,-1.8242478196959107,-1.917961973765616
26,6.584439203367761,0.8995893232156233,3.00811604082809,3.495408727877915,6.145202965595739,6.752197547174578,-0.12606963470197552,3.150123515529823,1.366272162036386,4.052127284688916,5.885067666195945,5.681675524368158,5.9748045886980625,5.5713522354362395,2.4435816110701456,4.717513370989093,5.795831515561396,3.7496584134205233,10.113590682171896,10.389239905467585,-5.332101029167623,8.446979851379266,15.04331408553387,8.293794533315815,2.188923473028432,1.2611522389204557
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.3851517280849783,9.841879065431426,-9.163265529346141,-0.28300209060301784,0.5378198635354384,2.182470140603622,0.8515109680211584,1.2931514068700551,-0.3370238484802049,1.868093726578019,8.460859468111407,-5.673961528294018,1.5179022331261187,-2.898693302792494,-6.345480853787055,1.9105340520320493,-3.4864123640613753,10.161858789749926,1.0824419513611765,7.815050368422941,-1.2369017693462048,-2.3912973151678925,0.30924474780325406,0.5436943349914797,-4.229662913104373,0.8390504798499085
30,5.4293679352334365,2.2119262204339853,-15.682587167491084,-18.018743991851807,-0.4464133114741725,-0.3813517831648763,-0.34093909065713995,-3.2819101574863843,-5.342322656936325,0.8284123713967828,6.295217470129724,-3.400865116609415,4.204537126622181,-6.169175998024318,2.528619761523522,-3.9306678536381177,1.7828934894720085,2.475274968995407,2.4517812964473316,-2.935836465933577,-2.434347055186131,0.45128636169288744,-2.628460444127147,-3.507517057680801,-2.192445752177785,0.9235451779817875
38,0.739877314041924,0.9041098568112549,-0.5572253759417066,-0.008728439355137113,-0.5124701280855644,0.6472898089776321,-0.6822292952273152,-0.7325307039058457,-0.6696998919480988,0.6117754179760915,0.34357602404554877,-0.5901515727598952,-1.1570597779786378,-1.3537299460650356,0.09134586540325842,0.5376919938274991,-1.3075973840094621,-0.7153857353493027,0.6739630771813059,-0.7202180288993324,-1.3591626764226599,-0.2794768390073921,-1.0856558481348755,-0.27337035082275574,-0.5418294010709616,-1.0813059628860087
31,-3.08938108236407,-6.421708213019083,-3.403188502883213,-8.635810267409704,-5.142130788688458,-4.24057014560997,-0.17614205319004603,-3.0336071655488297,-6.8476357007864355,-2.1541024613631143,-5.345472926202479,-10.467400094744727,-9.530688300423224,-2.616739049499826,-7.153812688569425,-3.5220998877465286,-5.2487131114800025,-5.466239731329031,-2.5540512741178483,-5.619500194837716,-5.199344081445561,-4.445330307597133,-4.36230526417002,-3.495063326475226,-2.0275079702263814,-4.6726005569293
32,1.2701046829471332,-0.17941330719622783,-2.939143095622983,-2.0556901871112356,-0.5561406375562543,-0.5486456207489889,-0.5546485304223832,-5.604858892528634,-16.123978888779355,9.105030980026513,12.868775719090513,-3.001440905688102,0.34348643078859215,1.502539713376839,-0.154589268174676,5.612624559486122,-4.1084652982260055,0.6913781759999039,2.8278758775834976,-3.5032228555595664,0.11647818932885314,1.9857781685137175,-1.0926134962784617,-1.6200529838863171,-4.632414435085497,-0.8329307802936488
33,7.2032000048412055,-2.8786165888634327,3.766771452255214,-1.9502458199654913,-3.52714985878009,2.23007408494033,1.8899092220574143,-0.037812267645765625,1.04246660300391,-0.42815122604016664,0.09516729252022813,-3.430101775543029,-2.3401950450364497,0.8364544389181257,1.2675689295086845,0.8557998038498972,-2.3160083255048844,-5.425187687111939,0.8003290363772303,-0.801926443934576,1.4675396082518706,-4.013216056440742,0.019148401238328325,2.355825620432577,-1.8442814724711716,-0.5607312830414175
