,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,4.920957845800063,4.922972062054803,4.925886175211738,4.931312792441425,4.931060805040247,4.916228616938872,4.89777830769034,4.921631777987761,4.9220658821218155,4.909831678166109,4.948042525964625,4.954137304249932,4.915706578422995,4.952701589640449,5.014187062487883,4.92955469383913,4.927078534575069,4.924137381946339,4.981842538889716,4.97843178580789,4.916017749730279,4.939818950260387,4.936380708918852,4.921636840876411,4.91206028882195,4.916207587017732
2,5.3655182274905115,5.421145083687522,5.426429328051481,5.392291116714477,5.429283022880554,5.376170977679166,5.542598202011802,5.350574385036122,5.3863971558484165,5.356883835792542,5.334314638918096,5.341264133019881,5.29535326090726,5.3231077757748695,5.273913617567582,5.3053554404865615,5.291671661897139,5.220826341889121,5.1670882745222615,5.294790443507108,5.306201943484219,5.214158814603632,5.212544029409235,5.195697910135443,5.171481917121193,5.202629947662354
3,1.719659686088562,1.8204302787780762,1.721166968345642,1.6336760520935059,1.6296519041061401,1.677289366722107,1.7461304664611816,1.669936180114746,1.617419958114624,1.572465181350708,1.6295374631881714,1.735887885093689,1.6367145776748657,1.6518446207046509,1.6888225078582764,1.6867311000823975,1.723267674446106,1.6945754289627075,1.7595716714859009,1.7756096124649048,1.6472961902618408,1.6329296827316284,1.6696202754974365,1.613125205039978,1.6847723722457886,1.6383312940597534
4,5.16931258715116,5.160114911886362,5.095676502814659,5.0925854792961704,5.046587863335243,5.0967609588916485,5.159198882029607,5.036887168884277,5.058662550265972,5.043264275330763,5.074954630778386,5.08049154648414,5.062267989378709,5.083617947651789,5.095573737071111,5.129979793842022,5.05752126620366,5.044587105971116,5.029977959852952,5.121060279699472,5.1458167552948,5.0748085205371565,5.041168205554669,5.083872094521156,5.144982253588163,5.0788184532752405
5,1.268165621646615,1.381353264631227,1.3044298665468084,1.3301865306011467,1.2884210847144904,1.2591694260752477,1.3066959852396056,1.2537556969842245,1.383734949799471,1.3611637963805088,1.2297767788864846,1.6605492081753044,1.2398986982744793,1.3874773313832838,1.3799199448075405,1.3671609994977019,1.5531892804212348,1.4076188220534214,1.3972720434499342,1.4402527531912162,1.3327945276748303,1.4894001761148141,1.213373863419821,1.1932941425678343,1.168822734854942,1.205122013424718
6,1.639440247477161,1.6505768318985443,1.5874458843613615,1.6438557790781265,1.580695276721827,1.5469585758566309,1.6180278468889993,1.5898914593482842,1.6337029571475072,1.6175569217285846,1.5409877443874247,1.7144333147259982,1.568365200939041,1.685574481060222,1.675766722209474,1.641097175879655,1.798206201675034,1.724921029201491,1.6346333698246547,1.633310432575944,1.599902859597892,1.7137915092396503,1.5706176760115063,1.5083902359502672,1.4976080680929313,1.4951588480132119
7,4.581101842076011,4.517860873268541,4.521935026869815,4.527906965869784,4.578985322234977,4.566647027904152,4.521987052928348,4.514918963114421,4.502906898080114,4.511903012512077,4.516714227573145,4.519120418787682,4.495734356882905,4.522333965953599,4.531227893503303,4.530624523190012,4.520354215236131,4.525484932793511,4.514745345482459,4.523702335221815,4.534148865072137,4.520369334234472,4.5554158110224625,4.539970330295399,4.518312777684964,4.60633742259099
8,1.7286204137684749,1.7867942535157793,1.7752067412854855,1.8011045487648445,1.6771450851367995,1.7154970039658517,1.838737942774467,1.6660469437345167,1.6769985510054306,1.6967557037081926,1.6509057141124563,1.6677894676829519,1.7280362508902072,1.8189466320676762,1.815291664094389,1.7991729003241503,2.008659804581698,1.8937022257463465,1.795480386711517,1.7792931789260795,1.7389165478073578,1.8182967166858526,1.6444379420743644,1.6910187954363955,1.700171328392447,1.618554572944374
9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.3027132643474966,3.27284473829477,3.2460664287877297,3.31846380966421,3.304976798126548,3.284684156486228,3.302059829235077,3.3345938329507385,3.256091113737695,3.2925975828714162,3.2497565188420108,3.30557284793231,3.3923956370994772,3.323730751204277,3.28216171707295,3.263651677267805,3.298323987159167,3.5177062508696633,3.385823174872258,3.3827998860239523,3.3636354234703982,3.3402283819017886,3.346676635070586,3.302237468477095,3.3626347236840886,3.3272610537221277
