id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110,Abbot,0,0,0,0,-2.85,0,0,-3.13,0,-6.77,-16.07,-13.33,-0.65,-6.72,-21.91,-27.6,-0.26,0,0,0,0,-0.13
111,Abbot_1,-0.31,0,-1.64,0,0,-0.31,0,0,0,-0.27,-2.54,-0.18,0,-2.87,-0.86,-0.65,0,0,0,0,0,-0.02
105,Abbot_2,-0.38,0,0,0,-0.07,-0.05,0,0,-0.03,0,-2.32,-0.63,0,-0.25,-0.2,-0.55,0,0,0,0,0,0
106,Abbot_3,-0.01,-0.02,0,0,0,-0.03,0,0,0,0,-0.03,0,0,0,0,0,0,0,0,0,0,0
107,Abbot_4,0,-0.1,0,0,0,0,0,0,0,-0.72,-0.85,-0.28,0,0,-0.54,0,0,0,0,0,0,0
108,Abbot_5,0,0,0,0,0,-1.17,0,0,-0.53,-0.18,-1.29,0,0,0,-0.12,-1.51,0,0,0,0,0,0
109,Abbot_6,0,0,0,0,0,0,0,0,0,-0.12,-0.4,0,0,-1.26,-1.08,-0.52,0,0,0,0,0,0
148,Ainsworth,0,0,0,0,-0.1,0,0,0,0,-1.11,0,0,-1.55,-0.9,0,0,0,0,0,0,0,-3.95
174,Alison,-2.44,-1.76,0,-2.39,0,-1.17,0,0,-5.05,-8.84,0,-2.48,0,0,-4.33,0,0,0,0,0,0,-0.09
115,Amery,0,0,0,0,-22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-324.89,0
144,Andreyev,-2.09,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,-0.03,0,0,0,0,0,0,0
133,Arneb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06,0,0,0,0,0,0
94,Astrolabe,0,-0.23,0,0,-1.8,0,-3.83,0,0,0,0,-2.06,0,0,0,0,0,0,0,0,0,0
124,Atka,0,0,0,0,0,-1.93,0,0,0,-1.17,-31.34,0,0,0,0,-0.14,0,0,0,0,0,-0.06
80,Aviator,0,0,0,0,-0.64,-0.03,-0.38,-0.01,0,-0.27,-0.52,-0.33,0,0,0,-1.41,0,0,0,0,0,-0.1
46,Bach,-2.96,-0.9,-3.61,0,-3.75,0,0,0,-1.43,-4.7,0,-2.67,-0.81,-2.8,-5.24,-2.76,-0.03,0,0,0,-0.16,-0.02
138,Barber,0,0,0,0,-0.05,0,0,0,0,-0.2,-0.11,0,0,0,-0.1,-0.33,-0.01,0,-0.04,0,-0.01,-0.02
118,Baudouin,0,-3.95,0,0,-7.67,0,0,0,0,0,0,0,0,0,-1.4,-26.75,-3.36,-31.19,0,0,0,-12.68
119,Borchgrevink,0,-22.16,-12.28,-156.98,-29.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Brahms,-1.13,-1.0,0,0,0,-1.45,0,0,0,-0.83,-1.2,0,0,0,-0.77,0,0,0,0,0,0,0
176,Britten,0,-0.01,0,0,0,-0.01,0,0,0,-0.02,-0.01,0,0,0,-0.43,-0.68,0,0,0,0,0,-0.11
36,Brunt_Stancomb,0,0,0,0,0,0,0,0,0,-1.41,0,0,0,0,0,0,0,0,0,0,0,-129.47
78,Campbell,-0.06,-0.02,0,0,-0.16,0,-0.81,0,0,-0.03,-0.26,-0.04,0,0,0,-0.74,-0.12,-0.05,0,0,0,-0.03
128,CapeWashington,-0.39,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Cheetham,0,-0.03,0,0,-0.22,0,0,0,0,-0.3,0,-0.41,0,0,0,-0.44,-0.02,-0.28,0,0,0,0
139,Chugunov,0,0,0,0,0,0,0,0,0,-0.56,0,0,0,0,-0.5,0,0,0,0,0,0,0
