id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110,Abbot,0.51,3.74,3.93,4.8,0,3.32,1.06,0,0.82,0,0,0,0,0,0,0,0,1.03,0.71,0.44,1.09,0
111,Abbot_1,0,0.44,0,0.07,0.03,0,0.18,0.24,0.24,0,0,0,0.08,0,0,0,0,0.1,0.13,0.12,0.06,0
105,Abbot_2,0,0.4,0.02,0.07,0,0,0.04,0.08,0,0.09,0,0,0.06,0,0,0,0.01,0.04,0.05,0.02,0.08,0
106,Abbot_3,0,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Abbot_4,0.51,0,0.28,0.32,0,0.19,0.15,0.26,0.14,0,0,0,0.01,0,0,0.2,0.18,0.09,0.04,0.02,0,0
108,Abbot_5,0.57,0.22,0.23,0.33,0.27,0,0.81,0.15,0,0,0,0.17,0.02,0.22,0,0,0.01,0.01,0.01,0.01,0,0
109,Abbot_6,0.3,0.29,0.12,0.18,0.02,0.12,0.1,0.11,0.06,0,0,0.07,0.05,0,0,0,0.01,0.01,0,0,0.01,0
148,Ainsworth,0.97,0.28,0.61,0.58,0,0.63,0.28,0.36,0.09,0,0.62,0.44,0,0,0.32,0.67,0.55,0.55,0.56,0.47,0.43,0
174,Alison,0,0,3.79,0,3.18,0,0.02,0.52,0,0,0.97,0,0.39,0.11,0,2.52,0.91,0.58,0.19,0.15,0.04,0
115,Amery,97.35,18.38,44.18,40.16,0,39.66,54.08,30.43,88.47,11.03,35.61,53.27,29.99,58.48,37.27,53.77,53.16,46.58,26.0,47.4,0,39.49
144,Andreyev,0,0.16,0.08,0.01,0,0.04,0.06,0.03,0,0,0.38,0.06,0.02,0,0,0.03,0,0.04,0.06,0,0,0
133,Arneb,0.01,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Astrolabe,1.4,0,0.32,0.08,0,1.28,0,0.39,1.74,0.43,0.05,0,0.27,0.77,0.99,1.05,1.24,0.16,0.04,0.08,0.1,0.01
124,Atka,3.45,0.65,1.55,1.79,0.09,0,1.24,1.18,1.73,0,0,0.18,0.47,0.49,0.93,0,0.28,0.12,0.09,0.03,0.08,0
80,Aviator,0.14,0.46,0.16,0.32,0,0,0,0,0.8,0,0,0,0.03,0.17,0.32,0,0.07,0.05,0.05,0.04,0.03,0
46,Bach,0,0,0,0.35,0,0.16,0.69,0.59,0,0,0.82,0,0,0,0,0,0,0.02,0.03,0.02,0,0
138,Barber,0.18,0.12,0.12,0.13,0,0.11,0.1,0.11,0.06,0,0,0.11,0.05,0.11,0,0,0,0.05,0,0.02,0,0
118,Baudouin,10.67,0,6.21,6.28,0,8.12,6.03,5.6,6.15,8.11,3.51,5.2,5.35,2.14,0,0,0,0,2.26,1.43,1.46,0
119,Borchgrevink,33.42,0,0,0,0,12.1,12.5,10.38,27.39,0.53,15.76,12.68,14.57,14.69,9.15,9.21,15.82,9.13,8.48,8.21,12.58,7.28
49,Brahms,0,0,0.9,0.58,0.23,0,0.23,0.22,1.13,0,0,0.05,0.03,0.07,0,0.11,0.09,0.04,0.05,0.02,0.03,0
176,Britten,0.26,0,0.14,0.04,0.01,0,0,0.03,0,0,0,0,0.02,0,0,0,0.04,0.04,0.08,0.09,0.04,0
36,Brunt_Stancomb,64.15,9.63,32.78,33.09,20.73,16.2,21.08,13.64,44.28,0,24.97,17.76,28.44,30.45,17.25,9.49,15.7,20.06,21.13,21.04,24.64,0
78,Campbell,0,0,0.16,0.19,0,0.15,0,0.05,0.25,0,0,0,0.04,0.11,0.11,0,0,0,0,0.02,0.01,0
128,CapeWashington,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Cheetham,0.28,0,0.06,0.08,0,0.14,0.06,0.04,0.01,0,0.05,0,0.01,0.05,0.07,0,0,0,0,0,0.04,0
139,Chugunov,0.33,0.06,0.19,0.12,0,0.14,0.07,0.08,0,0,0.12,0.12,0.15,0.14,0,0.12,0.12,0.18,0,0.09,0.01,0
18,Cirque_Fjord,0,0,0.03,0.01,0,0.06,0.05,0,0.07,0,0.61,0.04,0.01,0.01,0,0.03,0.94,0,0,0,0,0
177,ClarkeBay,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Commandant_Charcot,0,0,0.38,0.2,0,2.13,0.49,0.2,2.32,0,1.88,0.48,0.13,0.3,2.77,0.8,0.48,0.17,0.07,0.15,0.09,0
