id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110,Abbot,0.51,3.74,3.93,4.8,-2.85,3.32,1.06,-3.13,0.82,-6.77,-16.07,-13.33,-0.65,-6.72,-21.91,-27.6,-0.26,1.03,0.71,0.44,1.09,-0.13
111,Abbot_1,-0.31,0.44,-1.64,0.07,0.03,-0.31,0.18,0.24,0.24,-0.27,-2.54,-0.18,0.08,-2.87,-0.86,-0.65,0.0,0.1,0.13,0.12,0.06,-0.02
105,Abbot_2,-0.38,0.4,0.02,0.07,-0.07,-0.05,0.04,0.08,-0.03,0.09,-2.32,-0.63,0.06,-0.25,-0.2,-0.55,0.01,0.04,0.05,0.02,0.08,0.0
106,Abbot_3,-0.01,-0.02,0.0,0.0,0.03,-0.03,0.0,0.0,0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Abbot_4,0.51,-0.1,0.28,0.32,0.0,0.19,0.15,0.26,0.14,-0.72,-0.85,-0.28,0.01,0.0,-0.54,0.2,0.18,0.09,0.04,0.02,0.0,0.0
108,Abbot_5,0.57,0.22,0.23,0.33,0.27,-1.17,0.81,0.15,-0.53,-0.18,-1.29,0.17,0.02,0.22,-0.12,-1.51,0.01,0.01,0.01,0.01,0.0,0.0
109,Abbot_6,0.3,0.29,0.12,0.18,0.02,0.12,0.1,0.11,0.06,-0.12,-0.4,0.07,0.05,-1.26,-1.08,-0.52,0.01,0.01,0.0,0.0,0.01,0.0
148,Ainsworth,0.97,0.28,0.61,0.58,-0.1,0.63,0.28,0.36,0.09,-1.11,0.62,0.44,-1.55,-0.9,0.32,0.67,0.55,0.55,0.56,0.47,0.43,-3.95
174,Alison,-2.44,-1.76,3.79,-2.39,3.18,-1.17,0.02,0.52,-5.05,-8.84,0.97,-2.48,0.39,0.11,-4.33,2.52,0.91,0.58,0.19,0.15,0.04,-0.09
115,Amery,97.35,18.38,44.18,40.16,-22.35,39.66,54.08,30.43,88.47,11.03,35.61,53.27,29.99,58.48,37.27,53.77,53.16,46.58,26.0,47.4,-324.89,39.49
144,Andreyev,-2.09,0.16,0.08,0.01,0.0,0.04,0.06,0.03,0.0,-0.04,0.38,0.06,0.02,0.0,-0.03,0.03,0.0,0.04,0.06,0.0,0.0,0.0
133,Arneb,0.01,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,0.0,0.0,0.0
94,Astrolabe,1.4,-0.23,0.32,0.08,-1.8,1.28,-3.83,0.39,1.74,0.43,0.05,-2.06,0.27,0.77,0.99,1.05,1.24,0.16,0.04,0.08,0.1,0.01
