,name,calving_by_me,calving_rignot,percentage
6.0,LarsenD,4.08,6.3,1.5441176470588234
7.0,Larsen_F,0.93,0.6,0.6451612903225806
8.0,LarsenC,33.807434897910404,31.3,0.9258318501394087
10.0,Shirase,1.1362419765804534,9.6,8.448904544867654
12.0,Rayner_Thyer,0.2699999999999999,7.8,28.8888888888889
16.0,WilmaRobertDowner,0.3519118366710587,0.8,2.273296651705925
17.0,Edward_VIII,1.4200000000000002,0.3,0.21126760563380279
24.0,Tracy_Tremenchus,0.9261975534559164,0.2,0.2159366533130443
31.0,Lillie,0.0,0.5,inf
33.0,LarsenG,2.82,0.7,0.24822695035460993
34.0,Ronne,197.0665870391668,149.2,0.7571045007764133
35.0,Filchner,83.34086194678099,82.8,0.9935102429450949
36.0,Brunt_Stancomb,13.64,28.1,2.060117302052786
37.0,Riiser-Larsen,5.670000000000001,12.1,2.134038800705467
38.0,Quar,0.9,0.6,0.6666666666666666
39.0,Ekstrom,2.629440250408282,2.3,0.8747108817714612
45.0,George_VI,7.689265290397019,5.7,0.7412931905365034
46.0,Bach,0.59,0.8,1.3559322033898307
50.0,Wilkins,6.98,0.7,0.10028653295128939
51.0,LarsenB,0.07,8.9,127.14285714285714
52.0,Stange,5.475777420368408,4.6,0.8400633639507051
53.0,Venable,3.29,6.5,1.9756838905775076
54.0,Cosgrove,0.8437996450209034,1.3,1.5406500911336543
55.0,Pine_Island,46.106985722834125,63.0,1.3663873057917066
56.0,Thwaites,43.5069827442708,54.5,1.2526724806531615
57.0,Crosson,4.69394010075381,11.7,2.4925754800580155
58.0,Dotson,0.39,5.5,14.102564102564102
60.0,Getz,0.73,53.5,73.28767123287672
63.0,Land,1.4041044291112894,12.2,8.688812418120381
64.0,Nickerson,0.0,4.3,inf
65.0,Sulzberger,0.26,1.0,3.846153846153846
66.0,Swinburne,0.5500000000000002,1.5,2.7272727272727266
68.0,Withrow,0.5403356302639718,1.2,2.2208418856512577
70.0,Ross_West,78.19028108236539,100.4,1.284047053037691
71.0,Ross_East,82.37719986056939,45.8,0.5559790825315803
73.0,Drygalski,0.0,3.0,inf
80.0,Aviator,0.0,0.2,inf
83.0,Mariner,0.5670947435267257,0.6,1.058024266401481
86.0,Rennick,0.7149160925634249,0.8,1.1190124384128712
90.0,Cook,19.11,27.6,1.4442700156985873
91.0,Mertz,5.605973293096499,12.0,2.140573879432757
98.0,Totten,0.0,28.0,inf
99.0,Conger_Glenzer,0.139792619051882,1.1,7.8687988497572325
100.0,Shackleton,30.530636883689944,30.3,0.9924457231413618
102.0,West,29.79,32.6,1.0943269553541457
104.0,Publications,1.8,5.2,2.888888888888889
110.0,Abbot,0.0007010484809339,2.4,3423.4436922291675
114.0,Dibble,0.1131519448594844,8.2,72.46892671781306
115.0,Amery,30.291391404732696,50.4,1.6638390533663485
118.0,Baudouin,5.604221331575315,6.5,1.159839987649611
119.0,Borchgrevink,10.457247568688471,17.5,1.6734805105312065
120.0,Lazarev,3.73,3.1,0.8310991957104558
121.0,Fimbul,10.9,18.2,1.6697247706422018
122.0,Nivl,0.5799999999999998,1.3,2.2413793103448283
123.0,Vigrid,0.0,2.0,inf
124.0,Atka ,1.1903625565070863,1.1,0.9240882065609997
125.0,Jelbart,7.816699322689215,8.8,1.125794870279403
155.0,Ferrigno,0.0,6.6,inf
156.0,Holmes,0.1699483427376384,24.7,145.3382810453832
157.0,Moscow_University,0.0,29.6,inf
158.0,Prince_Harald,5.626394599517418,10.3,1.8306572384531015
159.0,Vincennes,1.88,6.8,3.617021276595745
161.0,LarsenE,1.4035225535610805,1.5,1.0687395056061855
162.0,Ninnis,21.71377488064609,24.6,1.1329213890822116
