,name,calving_by_me,calving_rignot,percentage
6.0,LarsenD,5.73,6.3,1.0994764397905759
7.0,Larsen_F,1.19,0.6,0.5042016806722689
8.0,LarsenC,49.74,31.3,0.6292722155207077
10.0,Shirase,1.866683247239316,9.6,5.142811462093356
12.0,Rayner_Thyer,0.0,7.8,inf
16.0,WilmaRobertDowner,0.0268589939230024,0.8,29.78518116849006
17.0,Edward_VIII,0.91,0.3,0.32967032967032966
24.0,Tracy_Tremenchus,1.1691671457371238,0.2,0.17106193988534135
31.0,Lillie,0.08,0.5,6.25
33.0,LarsenG,0.0,0.7,inf
34.0,Ronne,166.1907941683962,149.2,0.8977633252586786
35.0,Filchner,113.35676605162426,82.8,0.730437210623067
36.0,Brunt_Stancomb,44.28,28.1,0.6345980126467932
37.0,Riiser-Larsen,10.16,12.1,1.1909448818897637
38.0,Quar,0.94,0.6,0.6382978723404256
39.0,Ekstrom,3.649094604412143,2.3,0.6302933328226282
45.0,George_VI,1.13,5.7,5.04424778761062
46.0,Bach,0.0,0.8,inf
50.0,Wilkins,0.0,0.7,inf
51.0,LarsenB,0.0,8.9,inf
52.0,Stange,11.720961522065952,4.6,0.39245926977407203
53.0,Venable,5.02,6.5,1.2948207171314743
54.0,Cosgrove,4.520817201173765,1.3,0.28755862981198926
55.0,Pine_Island,93.93348609101248,63.0,0.6706873408164483
56.0,Thwaites,52.70000619965186,54.5,1.0341554760644418
57.0,Crosson,8.440378712631858,11.7,1.3861937240434243
58.0,Dotson,13.2,5.5,0.4166666666666667
60.0,Getz,45.26999999999998,53.5,1.1817981002871665
63.0,Land,11.06473842377136,12.2,1.1026017545782787
64.0,Nickerson,7.075518821463378,4.3,0.6077292857954213
65.0,Sulzberger,0.3500000000000001,1.0,2.8571428571428563
66.0,Swinburne,0.94,1.5,1.595744680851064
68.0,Withrow,7.545050255322369,1.2,0.15904466629012914
70.0,Ross_West,216.37676445458047,100.4,0.46400545942665167
71.0,Ross_East,204.78626355084944,45.8,0.22364781311920187
73.0,Drygalski,6.92,3.0,0.43352601156069365
80.0,Aviator,0.9540348365943498,0.2,0.20963595073105162
83.0,Mariner,1.0,0.6,0.6
86.0,Rennick,1.29,0.8,0.6201550387596899
90.0,Cook,30.17,27.6,0.9148160424262513
91.0,Mertz,13.66,12.0,0.8784773060029283
98.0,Totten,38.52644611757032,28.0,0.7267734977307018
99.0,Conger_Glenzer,0.4393482313059148,1.1,2.503708724922756
100.0,Shackleton,41.69606198104237,30.3,0.72668733113876
102.0,West,49.920000000000016,32.6,0.6530448717948716
104.0,Publications,0.0,5.2,inf
110.0,Abbot,0.8203823900805095,2.4,2.9254650380348513
114.0,Dibble,0.123931122498929,8.2,66.16578495099859
115.0,Amery,88.06701930912591,50.4,0.5722914252734034
118.0,Baudouin,6.161138947191513,6.5,1.0549997420465502
119.0,Borchgrevink,27.593835347435185,17.5,0.6341996239252984
120.0,Lazarev,3.95,3.1,0.7848101265822784
121.0,Fimbul,0.0,18.2,inf
122.0,Nivl,1.13,1.3,1.1504424778761064
123.0,Vigrid,8.52,2.0,0.2347417840375587
124.0,Atka ,1.7456436026345743,1.1,0.630140080334754
125.0,Jelbart,11.80030603784662,8.8,0.7457433707037882
155.0,Ferrigno,7.889391949791053,6.6,0.836566371908395
156.0,Holmes,0.0499848066875407,24.7,494.15015555430296
157.0,Moscow_University,0.0,29.6,inf
158.0,Prince_Harald,5.2366443519487165,10.3,1.9669084451318628
159.0,Vincennes,3.59,6.8,1.894150417827298
161.0,LarsenE,3.305397318169212,1.5,0.4538032362266263
162.0,Ninnis,37.91912896974706,24.6,0.6487490791158882
