,name,melt_by_me,melt_by_rignot_Gt_yr,ratio_rignot_me
6.0,LarsenD,9.7,1.4,0.1443298969072165
8.0,LarsenC,81.18,20.7,0.25498891352549885
10.0,Shirase,6.72,5.7,0.8482142857142858
12.0,Rayner_Thyer,2.71,6.7,2.4723247232472327
16.0,WilmaRobertDowner,0.6,10.0,16.666666666666668
17.0,Edward_VIII,0.56,4.2,7.5
24.0,Tracy_Tremenchus,1.4,2.7,1.9285714285714288
31.0,Lillie,5.77,3.4,0.5892547660311959
33.0,LarsenG,0.86,0.3,0.3488372093023256
34.0,Ronne,259.57,113.5,0.43726162499518434
35.0,Filchner,89.39,41.9,0.46873252041615393
36.0,Brunt_Stancomb,55.28,1.0,0.01808972503617945
37.0,Riiser-Larsen,53.74,8.7,0.1618905842947525
38.0,Quar,2.87,1.4,0.4878048780487804
39.0,Ekstrom,4.6,4.3,0.9347826086956522
45.0,George_VI,44.14,89.0,2.016311735387404
46.0,Bach,3.38,10.4,3.076923076923077
50.0,Wilkins,10.15,18.8,1.8522167487684729
51.0,LarsenB,15.31,12.2,0.7968647942521228
52.0,Stange,23.02,28.0,1.2163336229365769
53.0,Venable,17.84,19.4,1.0874439461883407
54.0,Cosgrove,7.23,8.5,1.1756569847856153
55.0,Pine_Island,110.37,101.2,0.9169158285766059
56.0,Thwaites,104.46,97.5,0.9333716255025848
57.0,Crosson,45.12,38.5,0.8532801418439717
58.0,Dotson,58.55,45.2,0.7719897523484203
60.0,Getz,151.34,144.9,0.9574468085106383
63.0,Land,-0.98,3.8,-3.877551020408163
64.0,Nickerson,1.88,4.2,2.2340425531914896
65.0,Sulzberger,8.16,18.2,2.230392156862745
66.0,Swinburne,2.89,3.8,1.314878892733564
68.0,Withrow,-0.81,0.3,-0.37037037037037035
70.0,Ross_West,72.92,-1.4,-0.01919912232583653
71.0,Ross_East,125.52,49.1,0.39117272147864884
73.0,Drygalski,2.47,7.6,3.0769230769230766
80.0,Aviator,0.87,1.4,1.6091954022988504
83.0,Mariner,2.43,2.4,0.9876543209876543
86.0,Rennick,5.44,7.0,1.2867647058823528
90.0,Cook,-0.47,4.6,-9.787234042553191
91.0,Mertz,17.86,7.9,0.4423292273236282
98.0,Totten,43.88,63.2,1.4402917046490429
99.0,Conger_Glenzer,1.01,3.6,3.5643564356435644
100.0,Shackleton,21.86,72.6,3.3211344922232384
102.0,West,-1.99,27.2,-13.668341708542714
104.0,Publications,-15.95,1.5,-0.09404388714733543
110.0,Abbot,61.06,51.8,0.8483458892892236
114.0,Dibble,5.86,8.1,1.3822525597269624
115.0,Amery,-18.95,35.5,-1.8733509234828496
118.0,Baudouin,1.93,14.1,7.305699481865285
119.0,Borchgrevink,3.35,7.5,2.2388059701492535
120.0,Lazarev,1.28,6.3,4.921875
121.0,Fimbul,17.69,23.5,1.3284341435839457
122.0,Nivl,1.14,3.9,3.421052631578948
123.0,Vigrid,0.42,3.2,7.6190476190476195
125.0,Jelbart,12.47,-1.0,-0.08019246190858059
155.0,Ferrigno,0.86,5.1,5.930232558139535
156.0,Holmes,-3.46,6.7,-1.9364161849710984
157.0,Moscow_University,28.06,27.4,0.9764789736279401
158.0,Prince_Harald,-7.35,-2.0,0.272108843537415
161.0,LarsenE,6.12,1.4,0.22875816993464052
162.0,Ninnis,-9.21,2.2,-0.23887079261672095
