,Names,lat_lon_coords,regions,area
110,Abbot,"[-72.50596317, -101.6978671]",West,
111,Abbot_1,"[-71.96090064, -99.79274096]",West,218445628.0
105,Abbot_2,"[-71.99621022, -99.05538844]",West,314087734.0
106,Abbot_3,"[-72.00478146, -98.01541202]",West,318237311.0
107,Abbot_4,"[-71.9475398, -97.24959677]",West,364449396.0
108,Abbot_5,"[-72.11117948, -96.23953517]",West,574186660.0
109,Abbot_6,"[-72.27937523, -95.66374898]",West,248600571.0
148,Ainsworth,"[-67.90638733, 146.4993772]",East,94305172.0
174,Alison,"[-73.8591543, -82.10193252]",West,47711552.0
115,Amery,"[-69.60149946, 71.28734153]",East,
144,Andreyev,"[-69.01354292, 155.4634273]",East,87385770.0
133,Arneb,"[-72.42033377, 169.9833378]",East,6408391.0
94,Astrolabe,"[-66.71327539, 140.003106]",East,78624819.0
124,Atka,"[-70.64971068, -6.833600037]",East,1993737851.0
80,Aviator,"[-73.96265565, 165.4747953]",East,770219143.0
46,Bach,"[-72.01264288, -72.418275]",Peninsula,
138,Barber,"[-70.41793862, 162.8285085]",East,23099527.0
118,Baudouin,"[-69.71327544, 31.08393748]",East,
119,Borchgrevink,"[-70.31869502, 20.39751048]",East,
49,Brahms,"[-71.47995545, -73.66158792]",Peninsula,237708153.0
176,Britten,"[-72.57424574, -72.53507792]",Peninsula,25149465.0
36,Brunt_Stancomb,"[-74.90109464, -21.90269879]",East,
78,Campbell,"[-74.60423279, 164.3895142]",East,69488703.0
128,CapeWashington,"[-74.54864247, 165.1474426]",East,11825171.0
76,Cheetham,"[-75.73151992, 162.7151054]",East,96733019.0
139,Chugunov,"[-70.65960191, 163.2758044]",East,22469457.0
18,Cirque_Fjord,"[-67.30241415, 58.75293795]",East,74846913.0
177,ClarkeBay,"[-74.40350821, -60.97403294]",Peninsula,12470452.0
113,Commandant_Charcot,"[-66.43771702, 136.6035943]",East,28026033.0
99,Conger_Glenzer,"[-65.84289058, 103.4643994]",East,1600942042.0
90,Cook,"[-68.51396286, 152.8519327]",East,
54,Cosgrove,"[-73.52846937, -100.5935432]",West,
57,Crosson,"[-75.06149267, -110.1953844]",West,
23,Dalk,"[-69.42732555, 76.43139732]",East,35436365.0
1,Dawson_Lambton,"[-76.11779165, -26.75288573]",East,24256581.0
145,Deakin,"[-68.43517899, 150.6146656]",East,64562072.0
32,Dennistoun,"[-71.16691116, 168.0260079]",East,87940718.0
