,name,melt_by_me,melt_by_rignot_Gt_yr,ratio_rignot_me
6.0,LarsenD,22.62,1.4,0.061892130857648095
8.0,LarsenC,70.63,20.7,0.29307659634716127
10.0,Shirase,9.5,5.7,0.6
12.0,Rayner_Thyer,2.85,6.7,2.3508771929824563
16.0,WilmaRobertDowner,5.38,10.0,1.858736059479554
17.0,Edward_VIII,-2.29,4.2,-1.834061135371179
24.0,Tracy_Tremenchus,4.63,2.7,0.5831533477321815
31.0,Lillie,1.03,3.4,3.3009708737864076
33.0,LarsenG,-0.15,0.3,-2.0
34.0,Ronne,180.17,113.5,0.6299605927734917
35.0,Filchner,55.91,41.9,0.7494187086388839
36.0,Brunt_Stancomb,15.58,1.0,0.06418485237483953
37.0,Riiser-Larsen,9.72,8.7,0.8950617283950616
38.0,Quar,-1.03,1.4,-1.3592233009708736
39.0,Ekstrom,1.15,4.3,3.739130434782609
45.0,George_VI,91.96,89.0,0.9678120922140061
46.0,Bach,-0.07,10.4,-148.57142857142856
50.0,Wilkins,22.71,18.8,0.8278291501541172
51.0,LarsenB,5.2,12.2,2.346153846153846
52.0,Stange,21.84,28.0,1.2820512820512822
53.0,Venable,10.15,19.4,1.9113300492610836
54.0,Cosgrove,5.66,8.5,1.5017667844522968
55.0,Pine_Island,107.6,101.2,0.9405204460966543
56.0,Thwaites,85.76,97.5,1.1368936567164178
57.0,Crosson,41.55,38.5,0.9265944645006018
58.0,Dotson,49.15,45.2,0.9196337741607326
60.0,Getz,138.64,144.9,1.0451529140219273
63.0,Land,-0.04,3.8,-95.0
64.0,Nickerson,7.15,4.2,0.5874125874125874
65.0,Sulzberger,15.99,18.2,1.1382113821138211
66.0,Swinburne,2.07,3.8,1.8357487922705316
68.0,Withrow,0.4,0.3,0.7499999999999999
70.0,Ross_West,-57.78,-1.4,0.02422983731394946
71.0,Ross_East,-141.98,49.1,-0.34582335540216935
73.0,Drygalski,2.8,7.6,2.7142857142857144
80.0,Aviator,0.83,1.4,1.686746987951807
83.0,Mariner,0.37,2.4,6.486486486486486
86.0,Rennick,0.06,7.0,116.66666666666667
90.0,Cook,0.19,4.6,24.210526315789473
91.0,Mertz,29.1,7.9,0.27147766323024053
98.0,Totten,45.23,63.2,1.397302675215565
99.0,Conger_Glenzer,3.96,3.6,0.9090909090909092
100.0,Shackleton,26.06,72.6,2.785878741366078
102.0,West,4.02,27.2,6.766169154228856
104.0,Publications,2.13,1.5,0.7042253521126761
110.0,Abbot,63.71,51.8,0.8130591743839272
114.0,Dibble,7.87,8.1,1.0292249047013977
115.0,Amery,58.0,35.5,0.6120689655172413
118.0,Baudouin,6.32,14.1,2.231012658227848
119.0,Borchgrevink,-5.28,7.5,-1.4204545454545454
120.0,Lazarev,-3.33,6.3,-1.8918918918918919
121.0,Fimbul,-12.59,23.5,-1.8665607625099285
122.0,Nivl,-0.32,3.9,-12.1875
123.0,Vigrid,-0.93,3.2,-3.4408602150537635
125.0,Jelbart,-2.93,-1.0,0.341296928327645
155.0,Ferrigno,1.51,5.1,3.377483443708609
156.0,Holmes,4.31,6.7,1.5545243619489562
157.0,Moscow_University,16.22,27.4,1.6892725030826141
158.0,Prince_Harald,5.57,-2.0,-0.3590664272890485
161.0,LarsenE,-0.34,1.4,-4.117647058823529
162.0,Ninnis,-3.71,2.2,-0.5929919137466307
